# arch: amd64
# source_date_epoch: 1704067200
# columns: package|final_rpmdb|name|epoch|version|release|arch|sha256_header|sigmd5
# direct_rpm: openssl-fips-provider-3.0.7-8.el9.x86_64|https://cdn-ubi.redhat.com/content/public/ubi/dist/ubi9/9/x86_64/baseos/os/Packages/o/openssl-fips-provider-3.0.7-8.el9.x86_64.rpm|bbf25303def8e1270675531c47bdad432f6ad8ef4c327556ae65bd6abaf8edb5
# direct_rpm: openssl-fips-provider-so-3.0.7-8.el9.x86_64|https://cdn-ubi.redhat.com/content/public/ubi/dist/ubi9/9/x86_64/baseos/os/Packages/o/openssl-fips-provider-so-3.0.7-8.el9.x86_64.rpm|ab48d98504fae6f8636de027a1ee06d21d5e9c27b7beb247017a6fe55567c5e9
openssl-fips-provider-3.0.7-8.el9.x86_64|yes|openssl-fips-provider|0|3.0.7|8.el9|x86_64|f86bf87c2350f2568b1aed19ebef984421318ca4f09e270ff29fa79df88f7330|c3ff4495cecf842922ab0560f3691049
openssl-fips-provider-so-3.0.7-8.el9.x86_64|yes|openssl-fips-provider-so|0|3.0.7|8.el9|x86_64|98e6ea3febec52a090b05f00171516b0113478a8de1797424c7f9bd735607ce6|782a5664fe49c9860c7ff0c18f3ae54e
openssl-libs-1:3.5.5-4.el9_8.x86_64|yes|openssl-libs|1|3.5.5|4.el9_8|x86_64|a51d3a23b866fc7b8128703f0442a52d4d870e0d29fe03d3a9bb89d51d0268b3|86fc663a32d3f7829e565940b5d9de3b
p11-kit-0.26.2-1.el9.x86_64|no|p11-kit|0|0.26.2|1.el9|x86_64|460d36adcf595c3f9ad61d213ade80ca3e94fb644e23abc63c6b1fa328c52ba1|23a08ca0d8d754c7f78153142c34e593
p11-kit-trust-0.26.2-1.el9.x86_64|no|p11-kit-trust|0|0.26.2|1.el9|x86_64|e77d28e0f4650238b4b353b9cea4609ef45ee81fead93fa7001c850183fad386|4ae2979fa6248ec03b31037f44db4588
pcre-8.44-4.el9.x86_64|no|pcre|0|8.44|4.el9|x86_64|8668fbdd2c67b998f6a4ffef3dd2e28c2f89e53bddf4d8aa688ec312a3443bdb|48ed4c003ccd17ed52bc12bec2416c1d
pcre2-10.40-6.el9.x86_64|no|pcre2|0|10.40|6.el9|x86_64|29a0e11f7660c86d8aa75f0ead82e55f08cae6cec5563b967bd06cac58e02539|6bad562d1fe17248c677891016d5c18e
pcre2-syntax-10.40-6.el9.noarch|no|pcre2-syntax|0|10.40|6.el9|noarch|95100a5fab111a468d8dc8bc1e1bd98c84a377bb182514fe410aa66025fc81d5|e16f2b328f130d319f08c995f4d3315b
redhat-release-9.8-1.0.el9.x86_64|yes|redhat-release|0|9.8|1.0.el9|x86_64|1523660673834d25a029ced87ddf95c316a9e99e23f8ae0c4dc229266ad4d633|f3598b070f012e097f3886ccc76c4db5
sed-4.8-10.el9.x86_64|no|sed|0|4.8|10.el9|x86_64|91106972102993984c14f2285146575348678a13c36b3aefd6abca8e21d3bfbf|df10629bbbf80b74ea258f2a9e751825
setup-2.13.7-10.el9.noarch|yes|setup|0|2.13.7|10.el9|noarch|89e9827ab6af5f378ce92fee0ce0d162fe071b03d77a95fa085e42bd44266773|b7e2acce809a4d9403ae8499e929ad53
tzdata-2026b-1.el9.noarch|yes|tzdata|0|2026b|1.el9|noarch|364d6616daca25bf6a6373c362e06a2c9ad4f008b85d7763e65b87a4c98b8b55|c7caa08102a8a983d2dd80f9530a65b9
zlib-1.2.11-40.el9.x86_64|yes|zlib|0|1.2.11|40.el9|x86_64|5de8b0cf2f02f5f8a67b25f5f42a8d3af8392613eb27c1bb005ee1660064e489|c73c5570d4e39bde68fadaf513038464
